itemid,nama,harga,rating
3016484562,VANS AUTENTIC FULL WHITE | WAFFLE DT VANS OLD SKOOL VANS AUTHENTIC SEPATU KASUAL PRIA SNEAKERSWANITA,5500000000,4.142857142857143
12403876249,Sepatu Vans Oldskool Sepatu Sneakers Pria Wanita Sepatu Checkboard Putih Hitam,6100000000,5
6255215101,SEPATU VANS OLD SKOL OG BLACK WHITE PRO SEPATU PRIA&WANITA PREMIUM,11900000000,4.615141955835962
8930804402,Sepatu Vans Slip On Motif Checkerboard Crazy World | Sneakers Kasual Slop Catur Pria Wanita Premium Murah,12200000000,4.74468085106383
8321340261,(SUPER PREMIUM) SEPATU VANS OLDSKOOL CLASSIC BLACK/WHITE (FREE WAIST BAG/TAS PINGGANG VANS) - osbw2,24900000000,4.791560102301791
8935820923,SEPATU VANS SLIP ON CASUAL PRIA DAN WANITA SIZE 36-44,10763900000,4.65
2882960793,Panarybody Sneakers Sepatu Pria Sepatu Olahraga Laki-lai Impor Sepatu Brand Sneakers Cowok 39-44,16900000000,4.848184818481848
4867186964,SEPATU SLIPON VANS OG CHECKERBOARD PREMIUM IMPORT. SEPATU PRIA PREMIUM. SEPATU SLIPON PRIA MURAH,11990000000,4.6440366972477065
4205480632,Sepatu Pria Sneakers Vans Oldskool Vault Og X Porter Yoshida Forest Night Black Orange,23000000000,4.553191489361702
9733964252,SEPATU PREMIUM VANS SLIPON OG CHECKERBOARD BLACK WHITE - VANS SLIP ON OG CATUR PRIA WANITA | #BRANDSALE SOCKOG,13000000000,4.769720101781171
8324738131,SEPATU VANS ORIGINAL PREMIUM PRIA WANITA CREAM/SEPATU KEREN/SEPATU BERKUALITAS/SEPATU TERLARIS,14000000000,4.833333333333333
8562084457,COD PROMO SEPATU VANS OLDSKOOL HITAM SEPATU PRIA SEPATU WANITA SEPATU SEKOLAH TERLARIS SEPATU MAIN,4500000000,4.342105263157895
4177482688,MS - Sepatu Sneakers Murah Pria Dewasa Vans Authentic Navy Kasual Bertali Skate Sekolah Kuliah Keren,5000000000,5
1431441191,Sepatu Vans Oldskool Black White Size 36-44 Premium Quality Made In China,13790000000,4.709826056905887
7601190383,Vans Oldskool X Toy Story Sepatu Sneakers Pria Canvas Black Premium Import,34200000000,4.878787878787879
5339695385,COD Sepatu Vans Oldskool Bw N All White Sket Sekolah Olahraga Santai Sport Sneakers - vans patta,9250000000,4.285714285714286
10161376191,Vans Clasic Old Skool original Sepatu Vans Original Sneakers Old School Premium,11050000000,4.617021276595745
